,0
0,10000
1,10003
2,10115
3,10127
4,10185
5,10220
6,10240
7,10311
8,10393
9,10522
10,10664
11,10719
12,10758
13,10793
14,10832
15,11002
16,11057
17,11069
18,11109
19,11337
20,11389
21,11396
22,11429
23,11500
24,11508
25,11523
26,11647
27,11716
28,11738
29,11894
30,11929
31,11989
32,12084
33,12403
34,12411
35,12414
36,12554
37,12596
38,12815
39,12825
40,12881
41,13187
42,13233
43,13311
44,13335
45,13356
46,13358
47,13407
48,13437
49,13587
50,13661
51,13684
52,13690
53,13705
54,13787
55,13928
56,13944
57,14015
58,14057
59,14076
60,14212
61,14243
62,14277
63,14345
64,14478
65,14529
66,14576
67,14601
68,14637
69,14704
70,14886
71,14999
72,15030
73,15045
74,15076
75,15272
76,15460
77,15484
78,15614
79,15825
80,15826
81,15841
82,15892
83,15937
84,16034
85,16047
86,16166
87,16213
88,16225
89,16360
90,16370
91,16658
92,16685
93,16729
94,16750
95,16783
96,16794
97,16820
98,16878
99,16889
100,16936
101,16980
102,17193
103,17224
104,17278
105,17288
106,17327
107,17479
108,17563
109,17640
110,17648
111,17651
112,17671
113,17677
114,17702
115,17713
116,17767
117,17785
118,17859
119,17959
120,18016
121,18399
122,18482
123,18511
124,18592
125,18651
126,18700
127,18756
128,18799
129,18827
130,18886
131,18982
132,19018
133,19233
134,19270
135,19308
136,19309
137,19405
138,19435
139,19439
140,19526
141,19637
142,19639
143,19803
144,19822
145,19898
146,19915
147,20074
148,20102
149,20210
150,10000
151,10003
152,10115
153,10127
154,10185
155,10220
156,10240
157,10311
158,10393
159,10522
160,10664
161,10719
162,10758
163,10793
164,10832
165,11002
166,11057
167,11069
168,11109
169,11337
170,11389
171,11396
172,11429
173,11500
174,11508
175,11523
176,11647
177,11716
178,11738
179,11894
180,11929
181,11989
182,12084
183,12403
184,12411
185,12414
186,12554
187,12596
188,12815
189,12825
190,12881
191,13187
192,13233
193,13311
194,13335
195,13356
196,13358
197,13407
198,13437
199,13587
200,13661
201,13684
202,13690
203,13705
204,13787
205,13928
206,13944
207,14015
208,14057
209,14076
210,14212
211,14243
212,14277
213,14345
214,14478
215,14529
216,14576
217,14601
218,14637
219,14704
220,14886
221,14999
222,15030
223,15045
224,15076
225,15272
226,15460
227,15484
228,15614
229,15825
230,15826
231,15841
232,15892
233,15937
234,16034
235,16047
236,16166
237,16213
238,16225
239,16360
240,16370
241,16658
242,16685
243,16729
244,16750
245,16783
246,16794
247,16820
248,16878
249,16889
250,16936
251,16980
252,17193
253,17224
254,17278
255,17288
256,17327
257,17479
258,17563
259,17640
260,17648
261,17651
262,17671
263,17677
264,17702
265,17713
266,17767
267,17785
268,17859
269,17959
270,18016
271,18399
272,18482
273,18511
274,18592
275,18651
276,18700
277,18756
278,18799
279,18827
280,18886
281,18982
282,19018
283,19233
284,19270
285,19308
286,19309
287,19405
288,19435
289,19439
290,19526
291,19637
292,19639
293,19803
294,19822
295,19898
296,19915
297,20074
298,20102
299,20210
300,10001
301,10012
302,10030
303,10035
304,10105
305,10119
306,10179
307,10209
308,10218
309,10244
310,10321
311,10334
312,10335
313,10374
314,10407
315,10419
316,10437
317,10477
318,10489
319,10505
320,10507
321,10513
322,10524
323,10547
324,10552
325,10579
326,10594
327,10641
328,10649
329,10703
330,10709
331,10714
332,10731
333,10744
334,10797
335,10804
336,10809
337,10817
338,10886
339,10941
340,10958
341,10965
342,10967
343,10999
344,11000
345,11021
346,11028
347,11071
348,11075
349,11090
350,11108
351,11167
352,11203
353,11325
354,11350
355,11378
356,11380
357,11398
358,11420
359,11458
360,11462
361,11494
362,11572
363,11584
364,11587
365,11615
366,11625
367,11660
368,11683
369,11711
370,11715
371,11722
372,11741
373,11783
374,11867
375,11873
376,11876
377,11877
378,11880
379,11882
380,11883
381,11895
382,11935
383,11982
384,11991
385,11999
386,12006
387,12039
388,12044
389,12071
390,12114
391,12126
392,12146
393,12158
394,12170
395,12181
396,12190
397,12217
398,12264
399,12266
400,12267
401,12324
402,12364
403,12388
404,12451
